line_id,speaker,type,text
55,ELLE,dialogue,"She hangs up and lets out a squeal of joy, kissing Underdog's head and taking the card out of his mouth. She reads it, touched."
58,ELLE,stage_direction,(continuing)
59,ELLE,dialogue,"""Elle and Warner forever"". Aww..."
60,ELLE,dialogue,Underdog yips.
62,NARRATOR,stage_direction,"A Delta Gamma/Sigma Chi barbecue in full swing. Beautiful college students drink beer and mingle, trying to figure out who they're going to sleep with next. The main wall of the living room has been designated as a ""Model Wall"" of Delta Gamma girls -- ELLE smiles at us from a Hawaiian Tropic ad and a Miss June USC calendar photo. A cover of an Italian Vogue shows a blonde sexpot MARGOT; a USC cheerleader poster displays a hard-bodied non-blonde SERENA in a pom-pom pose. Serena walks up, fending off an admirer."
73,SERENA,dialogue,"Jeremy, enough! I am not going to formal"
74,SERENA,dialogue,with you.
75,SERENA,dialogue,"Jeremy slinks off as Margot arrives, agitated."
76,MARGOT,dialogue,Can someone please tell Rick that he is
77,MARGOT,dialogue,not the only Sigma Chi with a big penis?
80,ELLE (O.S.),dialogue,You guys are so sweet!
81,ELLE (O.S.),dialogue,"ELLE, a vision of fluffy blondeness, runs down the stairs"
82,ELLE (O.S.),dialogue,"toward Serena and Margot, holding the card."
83,ELLE,dialogue,But I ' m not positive it's gonna happen
84,ELLE,dialogue,to n i g h t --
85,. SERENA,dialogue,Helloo...he just had lunch with his
86,. SERENA,dialogue,"grandmother. You know he got ""The Rock""."
87,MARGOT,dialogue,Why else would she have flown in from
88,MARGOT,dialogue,Newport? It's not like she'd Fed Ex a
89,MARGOT,dialogue,six carat diamond.
90,ELLE,stage_direction,(excited)
91,ELLE,dialogue,You think?
92,SERENA,dialogue,I can't believe you're getting engaged!
94,SERENA,dialogue,"The three girls jump up and down, squealing and hugging."
95,ELLE,dialogue,C'mon  -- you have to help me pick out the
96,ELLE,dialogue,perfect outfit.
97,ELLE,dialogue,"As they head toward the door, Elle spots AMY, a shy girl in a"
98,ELLE,dialogue,"Delta Gamma Pledge sweatshirt, standing alone."
99,ELLE,stage_direction,(continuing)
100,ELLE,dialogue,"Amy, what's wrong?"
101,AMY,dialogue,I don't really -- know anyone.
102,ELLE,stage_direction,(teasing)
103,ELLE,dialogue,That's because you spend too much time in
104,ELLE,dialogue,the library. Come with me.
105,ELLE,stage_direction,(to Serena and Margot)
106,ELLE,dialogue,I'll meet you outside.
107,ELLE,dialogue,"As they go, Elle leads Amy over to a group of jovial Sigma"
108,ELLE,dialogue,Chi brothers.
111,ELLE,stage_direction,(continuing)
112,ELLE,dialogue,"Bra ndon , Jason, Grant --this is Amy."
113,ELLE,dialogue,Why don't you tell her about the time you
114,ELLE,dialogue,guys went golfing naked?
115,ELLE,dialogue,Elle winks at Amy and.heads off as the guys launch into their
116,ELLE,dialogue,story.
117,BRANDON,dialogue,It was classic.     Jason hit with wood all
118,BRANDON,dialogue,day.
119,GRANT,dialogue,And we never ran out of balls --
120,GRANT,dialogue,Amy laughs.
121,NARRATOR,scene_heading,INT. SUNSET PLAZA BOUTIQUE - DAY
122,NARRATOR,scene_description,"Serena and Margot watch as Elle stands in front of a mirror,"
123,NARRATOR,scene_description,trying on a Herve Leger white mini-dress. Sexy and ultra-
124,NARRATOR,scene_description,tight.                                               ;
125,ELLE,dialogue,Too demure?
126,MARGOT,dialogue,I think you should go with red. It's the
127,MARGOT,dialogue,color of confidence.
128,ELLE,dialogue,"Well, I don't want to look like I know"
129,ELLE,dialogue,what's coming. . .
130,SERENA,dialogue,I don't understand why you're completely
131,SERENA,dialogue,disregarding your signature color.
132,SERENA,dialogue,She holds up a tiny pink slipdress.
133,ELLE,dialogue,He's proposing! I can't look like I
134,ELLE,dialogue,would on any date. This is the date. The
135,ELLE,dialogue,night I'll always remember. I want to
136,ELLE,dialogue,look special. Bridal . . . but not like I
137,ELLE,dialogue,suspect anything.
138,ACROSS THE STORE,dialogue,A SALESWOMAN looks at her cohort.
141,SALESWOMAN,stage_direction,(sot.to)
142,SALESWOMAN,dialogue,There ' s nothing I love more than a dumb
143,SALESWOMAN,dialogue,blonde with daddy's plastic.
144,SALESWOMAN,dialogue,"She grabs a dress off the Clearance Sale rack, ripping off"
145,SALESWOMAN,dialogue,"the ""HALF PRICE"" TAG."
146,SALESWOMAN,dialogue,ON ELLE AND THE GIRLS
147,. SERENA,dialogue,I can't wait to see you wearing The Rock!
148,. SERENA,dialogue,"Elle looks at them, suddenly concerned."
149,ELLE,dialogue,Wh at if -- you know -- it's not the
150,ELLE,dialogue,night?
151,MARGOT,dialogue,Why else would he be taking you to The
152,MARGOT,dialogue,Ivy? You've been dating for a year --
153,MARGOT,dialogue,it's not like he's trying to impress you.
154,SERENA,dialogue,"Elle, you've heard the man pass gas in"
155,SERENA,dialogue,his sleep. That practically means you're
156,SERENA,dialogue,"pre-engaged.                                                  '"""
157,SERENA,dialogue,"The Saleswoman approaches with the dress, kiss-assy smile on"
158,SERENA,dialogue,her face.
159,SALESWOMAN,dialogue,Did you see this one? We just got it in
160,SALESWOMAN,dialogue,yesterday.
161,SALESWOMAN,dialogue,"Elle fingers the dress, then the new price tag, looking back"
162,SALESWOMAN,dialogue,"at the saleswoman, excited."
163,ELLE,dialogue,Is this a low-viscosity rayon?
164,SALESWOMAN,dialogue,"Uh, yes -- of course."
165,ELLE,dialogue,With half-loop top-stitching on the hem?
166,SALESWOMAN,stage_direction,(smiling a lie)
167,SALESWOMAN,dialogue,Absolutely. It's one of a kind.
169,(CONTINUED),dialogue,CO NT I NU E D: ( 2 )        .                                           4
170,(CONTINUED),dialogue,"^       Elle hands the dress back to her, no longer pretending to be"
171,(CONTINUED),dialogue,excited.
172,ELLE,dialogue,It's impossible to use a half-loop
173,ELLE,dialogue,topstitch on low-viscosity rayon. It
174,ELLE,dialogue,would snag the fabric. And you didn't
175,ELLE,dialogue,"just get this in, because I remember it"
176,ELLE,dialogue,"from the June Vogue a year ago, so if"
177,ELLE,dialogue,you're trying to sell it to me at full
178,ELLE,dialogue,"price, you picked the wrong girl."
179,ELLE,dialogue,"The saleswoman slinks off, embarrassed."
180,MARGOT,stage_direction,(to the saleswoman)
181,MARGOT,dialogue,Nice try...
182,MARGOT,dialogue,Elle shakes her head and turns back to the girls as she slips
183,MARGOT,dialogue,"on her Manolo Blahnik sandals, doing one last mirror check,"
184,MARGOT,dialogue,smoothing down her golden mane.
185,ELLE,stage_direction,(dramatically)
186,ELLE,dialogue,"Girls, this is it. In a few hours, I'll"
187,ELLE,dialogue,be the future Mrs. Warner Huntington III.
188,ELLE,dialogue,"5    EXT, DELTA GAMMA HOUSE - NIGHT"
189,ELLE,dialogue,An attractive male finger presses the doorbell.
190,ELLE,dialogue,6    INT. DELTA GAMMA HOUSE - FOYER - NIGHT - SAME TIME
191,ELLE,dialogue,Amy peeks through the peephole and turns.
192,AMY,stage_direction,(whispering)
193,AMY,dialogue,He's here!
194,AMY,dialogue,"Elle, standing nearby with Margot and Serena and several"
195,AMY,dialogue,"other DG's, smooths down her dress and takes a deep breath,"
196,AMY,dialogue,o pening the door to find --
197,AMY,dialogue,"WARNER HUNTINGTON, III, 21, tall, chiseled and outrageously"
198,AMY,dialogue,"handsome. He takes her in, a smile spreading across his"
199,AMY,dialogue,face.
200,WARNER,dialogue,You're beautiful.
201,ELLE,dialogue,So are you!
204,(CONTINUED),dialogue,"She looks up at him, blushing and completely smitten.    They"
205,(CONTINUED),dialogue,"kiss. After a moment,-Warner extracts himself."
206,WARNER,stage_direction,(nervous)
207,WARNER,dialogue,You ready?
208,WARNER,dialogue,Her face is awash with devotion.
209,ELLE,dialogue,I am so ready.
210,ELLE,dialogue,7   EXT. THE IVY - NIGHT
211,ELLE,dialogue,Warner and Elle are seated at a cozy table on the patio.
212,ELLE,dialogue,Elle takes a sip from her freshly poured champagne flute.
213,ELLE,dialogue,Nervous and excited.
214,ELLE,dialogue,Here' s to ~ us.
215,ELLE,dialogue,Warner is slower to sip his.
216,WARNER,dialogue,The reason I wanted to come here tonight
217,WARNER,dialogue,was to discuss our future.
218,WARNER,dialogue,Elle is on the edge of her seat.
219,ELLE,dialogue,I ' m fully amenable to that discussion.
220,WARNER,dialogue,"I mean, we're having a lot of fun now --"
221,WARNER,dialogue,but things are gonna be different when
222,WARNER,dialogue,I ' m at Harvard Law school is a completely
223,WARNER,dialogue,different world. I need to be serious.
224,ELLE,dialogue,Of course.
225,WARNER,dialogue,My family expects a lot from me. And I
226,WARNER,dialogue,expect a lot from me. I .plan on running
227,WARNER,dialogue,for office some day.
228,ELLE,dialogue,And I fully support that.
231,WA R N ER,dialogue,"But the thing is, if I ' m gonna be a"
232,WA R N ER,dialogue,senator by the time I ' m thirty -- I can't
233,WA R N ER,dialogue,keep dicking around.
234,ELLE,dialogue,I completely agree.
235,WARNER,dialogue,T hat 's why I think it's time for us to--
236,WARNER,dialogue,"Elle takes a deep breath, filled with anticipation."
239,WARNER,dialogue,I think we should break up.
240,WARNER,dialogue,Elle's champagne glass drops from her hand and CRASHES onto
241,WARNER,dialogue,the patio.
242,ELLE,dialogue,What?
243,ELLE,dialogue,"Elle starts to flush, completely caught off guard."
244,WARNER,dialogue,"I ' m sorry, Elle, I just --"
245,ELLE,dialogue,You're breaking up with me?!
246,ELLE,stage_direction,(tearing up)
247,ELLE,dialogue,I thought you were proposing.
248,WARNER,dialogue,"Proposing?! Elle, If I ' m going to be a"
249,WARNER,dialogue,"politician, I need to marry a Jackie, not"
250,WARNER,dialogue,a -- Marilyn.
251,ELLE,stage_direction,(stunned)
252,ELLE,dialogue,You're breaking up with me because I ' m
253,ELLE,dialogue,too -- blonde?
254,WARNER,dialogue,T hat' s not entirely --
255,ELLE,dialogue,Then what? My boobs are too big?
256,WARNER.,dialogue,Elle -- no --  your boobs are fine --
257,WARNER.,dialogue,Her tears start.
259,(CON TINUED ),dialogue,i
261,ELLE,dialogue,"So when you said you'd always love me,"
262,ELLE,dialogue,"you were just ""dicking around""?"
263,ELLE,dialogue,Warner looks around the restaurant nervously.
264,WARNER,dialogue,"I do love you, Elle. I just can't marry you."
265,WARNER,dialogue,You have no idea the pressure I ' m under. My
266,WARNER,dialogue,family has five generations of senators. My
267,WARNER,dialogue,brother is in the top three at Yale Law. He
268,WARNER,dialogue,"just got engaged to a Vanderbilt, for crissakes."
269,WARNER,dialogue,"Elle stares at him aghast, tears streaming down her face,"
270,WARNER,dialogue,then pushes her chair away from the table and walks out.
271,WARNER,stage_direction,(continuing)
272,WARNER,dialogue,"It's not like I have a choice, sweetheart"
273,WARNER,dialogue,He follows her out.
274,WARNER,dialogue,8   EXT.' STREET - NIGHT                                                 8
275,WARNER,dialogue,Elle teeters down the sidewalk as best she can in her three
276,WARNER,dialogue,"inch heels, sobbing. Warner pulls up alongside her in his"
277,WARNER,dialogue,convertible Saab.
278,WARNER,dialogue,C'mon.   Let me take you home.
279,ELLE,dialogue,No.
280,WARNER,dialogue,Elle -- it's twenty miles back to campus.
281,WARNER,dialogue,"Elle stops, thinks a minute, then gets in, still crying."
282,WARNER,dialogue,Catching her poofy little purse in the door. She re-opens
283,WARNER,dialogue,"i t, yanking the purse back in. Warner pulls out."
284,WARNER,dialogue,9   EXT. DELTA GAMMA HOUSE - USC - NIGHT                                 9
285,WARNER,dialogue,"Warner pulls up in front. It's a starry, romantic night."
286,WARNER,dialogue,Everything should be perfect. It's not.
287,WARNER,dialogue,"Elle sits, still in shock, as tears continue to eke out."
288,WARNER,dialogue,"Elle, believe me, I never expected to be"
289,WARNER,dialogue,"doing this, but I think it's the right"
290,WARNER,dialogue,thing to do.
293,ELLE,dialogue,How can it be the right thing if we're
294,ELLE,dialogue,not together?
295,WARNER .,dialogue,I have to think about my future. And what
296,WARNER .,dialogue,people expect from me.
297,ELLE,dialogue,So you're breaking up with me because
298,ELLE,dialogue,you're afraid your family won't like me?
299,ELLE,stage_direction,(through her tears)
300,ELLE,dialogue,Everybody likes me!
301,WARNER,dialogue,East coast people are different.
302,ELLE,dialogue,"Just because I ' m not a Vanderbilt, all of"
303,ELLE,dialogue,a sudden I ' m white trash? I grew up in
304,ELLE,dialogue,"Bel Air, Warner! Across the street from"
305,ELLE,dialogue,Aaron Spelling! I think most people
306,ELLE,dialogue,would agree that's way better than a
307,ELLE,dialogue,Vanderb ilt --
308,WARNER,dialogue,"I told you, Elle.       I need someone --"
309,WARNER,dialogue,serious.
310,ELLE,dialogue,I ' m seriously in love with you -- Isn't
311,ELLE,dialogue,that enough? He looks away.
312,WARNER,dialogue,I ' m sorry.
313,WARNER,dialogue,She gets out of the car and drags herself up the stairs to
314,WARNER,dialogue,"her sorority house. When she's at the top, she turns back to"
315,WARNER,dialogue,look at him. His perfect cheekbones highlighted by the
316,WARNER,dialogue,streetlamp.
317,WARNER,dialogue,"He meets her eyes, pained, but determined.       Then pulls away,"
318,WARNER,dialogue,leaving her there.
319,WARNER,dialogue,10   INT. DELTA GAMMA HOUSE - USC - NIGHT                                10
320,WARNER,dialogue,"Elle walks down the pink and green carpeted hall, dazed and"
321,WARNER,dialogue,tear-stained.
322,WARNER,dialogue,"Margot and Serena emerge from the bathroom, post-shower."
323,WARNER,dialogue,Getting ready for a night out.
326,MARGOT,dialogue,Why are you back so soon?
327,MARGOT,dialogue,Serena sees Elle's bare hand.
328,SERENA                                   .,dialogue,Did he forget the ring?
329,SERENA                                   .,dialogue,"Elle silently walks into her room.      Serena and Margot follow,"
330,SERENA                                   .,dialogue,worried.
331,SERENA                                   .,dialogue,11   INT. ELLE'S DELTA GAMMA ROOM - NIGHT - CONTINUOUS                  11
332,SERENA                                   .,dialogue,"Elle slumps down in an inflatable chair, hugging her knees"
333,SERENA                                   .,dialogue,and cowering in a wretched little ball. Underdog stares at
334,SERENA                                   .,dialogue,"her, concerned."
335,SERENA                                   .,dialogue,Serena and Margot stand in the door.
336,MARGOT,dialogue,Elle?
337,SERENA,dialogue,Where's the Rock?
339,ELLE                                             ,dialogue,We're not engaged.     It's over!
340,SERENA AND MARGOT,dialogue,What?!
342,ELLE,dialogue,He broke up with me!
343,ELLE,dialogue,"Serena and Margot gasp in horror, rushing to her side."
344,SERENA,dialogue,Is it a Kappa?
345,MARGOT,dialogue,It's not a Theta --
346,ELLE,dialogue,No -- it's just -- not me.
347,ELLE,dialogue,I ' m canceling the mixer.   We'll blacklist
348,ELLE,dialogue,Sigma Chi.
349,ELLE,dialogue,"Thank you, Serena, but I don't think"
350,ELLE,dialogue,it'll do any good.
353,SERENA,dialogue,What happened?
354,SERENA,dialogue,Elle starts to lose it again.
355, ELLE,dialogue,I don't know! Everything was normal at
356,ELLE,dialogue,first and then he said he needed someone
357,;       ELLE,dialogue,mo r e --
358,;       ELLE,stage_direction,(sob-choked)
359,;       ELLE,dialogue,Serious! .
360,MARGOT,dialogue,S e r i o u s ? ! Who the hell does he think he
361,MARGOT,dialogue,i s ? Y o u ' r e the most popu l a r month on the
362,MARGOT,dialogue,U S C calendar!
363,MARGOT,dialogue,"S h e points to Elle's ""Miss June"" page, hanging on the wall."
364,SER EN A,dialogue,"O h , he is so over on this campus."
365,ELLE,dialogue,I just don ' t underst a n d what went wrong --
366,MA RG OT,dialogue,Maybe it's the grandmother.        Have you
367,MA RG OT,dialogue,e v e r me t he r ?
368,MA RG OT,dialogue,E l l e wipes her face.
369,ELLE,dialogue,Last month on his birthday. And she
370,ELLE,dialogue,liked me! She said I looked like Britney
371,ELLE,dialogue,Spears. Why would you say that to
372,ELLE,dialogue,someone you didn't like?
373,ELLE,dialogue,"They shrug, mystified."
374,SERENA,dialogue,How could this happen?
375,ELLE,dialogue,I don't know! I don't know anything any
376,ELLE,dialogue,more!
377,ELLE,stage_direction,(wiping a tear)
378,ELLE,dialogue,I just need to be by myself.
379,SERENA,dialogue,Are you sure?
380,SERENA,dialogue,"Elle nods.    The girls rise, hugging her."
383,MARGOT,dialogue,We still love you.      Sisters forever!
384,ELLE,stage_direction,(sniffling)
385,ELLE,dialogue,"Thank you. I love you, too."
386,ELLE,dialogue,"As they go, Margot looks at Serena."
387,MARGOT,dialogue,"Oh, God. What if Josh doesn't think I ' m"
388,MARGOT,dialogue,serious enough?    .
389,SERENA,dialogue,Helloo... you let him have anal sex with
390,SERENA,dialogue,you.
391,(TV VERSION),dialogue,Helloo... you let him videotape you
392,(TV VERSION),dialogue,diddling yourself.
393,MARGOT,dialogue,You're right. Phew!
394,MARGOT,dialogue,"As the girls go, they shut the door behind them."
395,MARGOT,dialogue,"Elle gets up and grabs a FRAMED PHOTO of Warner, then lies"
396,MARGOT,dialogue,"down on her bed, clutching it to her heart. Underdog leaps"
397,MARGOT,dialogue,up and gives her little doggy kisses.
398,MARGOT,dialogue,12     EXT. DELTA GAMMA HOUSE - DAY                                         12
399,MARGOT,dialogue,"The sun rises on a sad day.     ""HOPELESSLY DEVOTED"" by Olivia"
400,MARGOT,dialogue,Newton-John plays.                                           .
401,MARGOT,dialogue,13     INT. DELTA GAMMA HOUSE - HALLWAY - DAY                               13
402,MARGOT,dialogue,Amy knocks on Elle's door.
403,AMY,dialogue,Elle?
404,AMY,dialogue,ANOTHER SISTER passes.
405,ANOTHER SISTER,stage_direction,(whispering)
406,ANOTHER SISTER,dialogue,Didn't you hear?
407,ANOTHER SISTER,dialogue,She leads a reluctant Amy down the hall.
408,ANOTHER SISTER,dialogue,14     INT. ELLE'S DELTA GAMMA ROOM - DAY                              
409,ANOTHER SISTER,dialogue,Spread out on the bed are PICTURES of Elle and Warner: The
410,ANOTHER SISTER,dialogue,"Sigma Chi formal; their Homecoming Queen and King ""wave"";"
413,(CONTINUED),dialogue,a 60's party; Mardi Gras night; beach weekend at Coronado.
414,(CONTINUED),dialogue,Next to the pictures are thirty dried Ecuardorian long-
415,(CONTINUED),dialogue,"stemmed pink roses, remnants of their one year anniversary."
416,(CONTINUED),dialogue,"In the center sits Elle, wearing Warner's old oversized Sigma"
417,(CONTINUED),dialogue,"Chi t-shirt, clutching a Gund teddybear. Depressed and"
418,(CONTINUED),dialogue,"looking like hell, she speaks to an unseen confidante."
419,ELLE,dialogue,I just love him so much! I loved him the
420,ELLE,dialogue,first moment I saw him. He's beautiful
421,ELLE,dialogue,and smart and someone I totally respect.
422,ELLE,dialogue,And I did everything I could to make him
423,ELLE,dialogue,"love me, but it wasn't enough. Now what"
424,ELLE,dialogue,am I supposed to do? I planned my whole
425,ELLE,dialogue,future around him. My life was going to
426,ELLE,dialogue,be all about Warner. Now what's it going
427,ELLE,dialogue,to be about?
428,ELLE,dialogue,She looks up -- waiting. Staring back at her is Underdog --
429,ELLE,dialogue,who sadly has no answers for her.
430,ELLE,dialogue,15   INT. ELLE'S DELTA GAMMA ROOM - DAY                                   15
431,ELLE,dialogue,"Elle remains in bed, Underdog now clutched to her chest,"
432,ELLE,dialogue,soaps on the TV.
433,TV SOAP STUD,stage_direction,(on TV)
434,TV SOAP STUD,dialogue,"""Oh, darling.     I'll love you forever."""
435,ELLE,stage_direction,(teary)
436,ELLE,dialogue,Bullshit!
437,ELLE,dialogue,"Serena and Margot enter, bearing Jamba Juice."
438,MARGOT,dialogue,"Honey, stop! You have to leave this room"
439,MARGOT,dialogue,-- it's been a week.
440,ELLE,dialogue,So?
442,ELLE,dialogue,"S erena sits down on the edge of the bed, trying to psyche"
443,ELLE,dialogue,Elle up.
444,SERENA,dialogue,What's the thing that always makes us
445,SERENA,dialogue,"feel better, no matter what?                                   ."
446,MARGOT,dialogue,Cunnilingus?
449,(CONTINUED),dialogue,"Elle lets out a wail, realizing what she'll be missing."
450,(CONTINUED),dialogue,Serena shoots Margot a stern look.
451,SERENA,dialogue,"No -- the thing after that,"
452,SERENA,dialogue,16   INT. UPSCALE MANICURE SHOP - DAY                                   16
453,SERENA,dialogue,A row of uniformed manicurists and their classy clients.
454,SERENA,dialogue,Chattering away. Therapy in full session. Serena sits in
455,SERENA,dialogue,front of her regular nail technician.
456,SERENA,dialogue,It was awful. We all thought she'd be
457,SERENA,dialogue,the first to walk down the aisle and now
458,SERENA,dialogue,she's totally adrift.
459,SERENA,dialogue,The nail technician shakes her head in shared girl-power-
460,SERENA,dialogue,"angst -- looking over at Elle, who sits in the waiting area,"
461,SERENA,dialogue,"shell-shocked, but showered."
462,SERENA,dialogue,"Elle picks up the only magazine left on the table -- ""Town &"
463,SERENA,dialogue,"Country"". She wrinkles her nose. An OLD LADY next to her"
464,SERENA,dialogue,"reads ""Seventeen"". Elle looks at her, begrudging the access"
465,SERENA,dialogue,"to teen beauty tips, and flips through ""Town & Country"""
466,SERENA,dialogue,n oisily until she freezes on-- the Engagement Section. She
467,SERENA,dialogue,gasps.
468,ELLE,dialogue,"Oh, my God!                    ."
469,ELLE,dialogue,She looks at a PHOTO of a horse-faced YOUNG WOMAN standing
470,ELLE,dialogue,next to a THREE-YEARS-OLDER VERSION OF WARNER. She turns to
471,ELLE,dialogue,the old lady next to her.
472,ELLE,stage_direction,(continuing)
473,ELLE,dialogue,Do you know who this is?
474,ELLE,dialogue,The old lady looks.
475,OLD LADY,dialogue,No.
476,ELLE,dialogue,It's Warner's older brother!
477,OLD LADY,dialogue,Who?
478,OLD LADY,dialogue,"Elle continues, undaunted."
481,EL LE,dialogue,He just got engaged to this -- this very
482,EL LE,dialogue,unfortunate-looking girl.
483,EL LE,stage_direction,(reading)
484,EL LE,dialogue,"""Third year Yale Law student Putnam Bowes"
485,EL LE,dialogue,Huntington III and his fiance Layne
486,EL LE,dialogue,"Walker Vanderbilt, first year Yale Law."""
487,EL LE,dialogue,She turns to the old lady.
488,ELLE,stage_direction,(continuing)
489,ELLE,dialogue,This is the type-of girl Warner wants to
490,ELLE,dialogue,marry. This is what I need to become to
491,ELLE,dialogue,be serious.
492,ELLE,dialogue,The old lady looks at the picture.
493,OLD LADY,dialogue,Butt ugly?
494,ELLE,dialogue,No -- a law student.
495,ELLE,dialogue,Elle rushes out.   Serena looks after her.
496,SERENA,dialogue,Elle?
497,SERENA,dialogue,(turning back to her nail
498,SERENA,dialogue,technician)
499,SERENA,dialogue,She'll never get him back with those
500,SERENA,dialogue,cuticles.
501,SERENA,dialogue,17   INT. COUNSELOR'S OFFICE - DAY                                  17
502,SERENA,dialogue,Elle sits in front of her ADVISOR.
503,ADVISOR,stage_direction,(flummoxed)
504,ADVISOR,dialogue,Harvard Law School?
505,ELLE,dialogue,That's right.
506,ADVISOR,dialogue,But it's a top three school --
507,ELLE,stage_direction,(offended)
508,ELLE,dialogue,I have a 4.0.
511,ADVISOR,dialogue,"Yes, but your major is Fashion"
512,ADVISOR,dialogue,Merchandising. Harvard won't be
513,ADVISOR,dialogue,"impressed that you aced ""History of"
514,ADVISOR,dialogue,"Lycra"". What are your backups?"
515,ELLE,dialogue,I don't need backups.      Harvard is the
516,ELLE,dialogue,school I' m going to.
517,ELLE,dialogue,He decides to humor her.
518,ADVISOR,dialogue,"Well, then. You'll need excellent"
519,ADVISOR,dialogue,"recommendations from your professors, a"
520,ADVISOR,dialogue,heck of an admissions essay and at least
521,ADVISOR,dialogue,a one-seventy-five on your LSATs.
522,ELLE,stage_direction,(confident)
523,ELLE,dialogue,I once had to judge a Theta Chi Tighty-
524,ELLE,dialogue,Whitey contest. Trust me-- I can handle
525,ELLE,dialogue,anything.
526,ELLE,dialogue,18    INT. ELLE'S DELTA GAMMA ROOM - DAY                              18
527,ELLE,dialogue,Elle sits on the floor surrounded by piles of LSAT prep
528,ELLE,dialogue,"books, the framed photo of Warner, and Underdog."
529,ELLE,dialogue,"There's a KNOCK at the door as Serena and Margot peek inside,"
530,ELLE,dialogue,gasping in horror at the sight of books.
531,MARGOT,dialogue,What are you doing?!
532,MARGOT,dialogue,Elle smiles brightly at them.
533,ELLE,dialogue,Reading about the LSATs.
534,ELLE,dialogue,"Margot looks at Serena, confused."
535,SERENA,stage_direction,(in a horrified whisper)
536,SERENA,dialogue,My cousin had them. Apparently you get a
537,SERENA,dialogue,really bad rash on your --
538,SERENA,dialogue,Elle interrupts her.
539,ELLE,dialogue,The LSATs are an exam.
540,ELLE,dialogue,She takes a deep breath.
543,ELLE,stage_direction,(continuing)
544,ELLE,dialogue,Girls-- I ' m going to Harvard!
545,SERENA,dialogue,"What, like on va-kay?"
546,MARGOT,dialogue,Let's all go! Road trip!
547,. SERENA,dialogue,Wait -- Cecil has a condo in Tahoe.
548,. SERENA,dialogue,Let's go there!
549,ELLE,dialogue,No -- I ' m going to law school at Harvard.
550,ELLE,dialogue,"They look at her, confused."
551,MARGOT,dialogue,Why?!
552,SERENA,dialogue,"I mean, I know you're upset and all, but"
553,SERENA,dialogue,can't you just take a sedative?
554,SERENA,dialogue,Elle rolls her eyes at their naivete.
555,ELLE,dialogue,Once Warner sees me as a serious law
556,ELLE,dialogue,"student, he'll want me back. It's a"
557,ELLE,dialogue,completely brilliant plan!
558,MARGOT,dialogue,But isn't it kind of hard to get into law
559,MARGOT,dialogue,school?
560,ELLE,dialogue,I have the highest GPA in Delta Gamma!
561,ELLE,dialogue,Margot pulls something off her wrist and hands it to Elle.
562,MARGOT,dialogue,Here.   You're gonna need this.
563,ELLE,dialogue,Your scrunchie?
564,MARGOT,dialogue,My lucky scrunchie.     It helped me pass
565,MARGOT,dialogue,Spanish.
566,MARGOT,dialogue,Serena rolls her eyes and looks at Margot disapprovingly.
569,S ER EN A,dialogue,You passed Spanish because you gave
570,S ER EN A,dialogue,Professor Montoya a hand-job after the
571,S ER EN A,dialogue,final.
